DATE,ACMY01,ACMY02,ACMY03,ACMY05,ACMY10
1970-12-29,501.2975761,549.9457719,577.6079182,604.9726191000001,628.0392151
1970-12-30,500.8704911,549.4415646,575.7651567,600.7571811,621.3345462000001
1970-12-31,497.8759076,548.5374776,575.7499147,601.4150086,622.4555564
1971-01-04,494.2507764,547.8657585,576.560489,603.5748272000001,625.6647509999999
1971-01-05,495.86115270000005,552.4256531999999,582.5008307,610.6908599,633.6589501999999
1971-01-06,496.72036510000004,553.8802386,583.7340554,611.3058195,633.6618166
1971-01-07,491.6454229,550.8501888,582.2884563,611.7526297999999,635.7313207999999
1971-01-08,486.8534016,548.4978399,581.1829747,611.8005026999999,636.6861957
1971-01-11,475.30008309999994,541.365611,575.3322236,606.3725522999999,631.3874087
1971-01-12,469.05320809999995,535.5122411,570.6333758000001,603.4801925,630.1148395
1971-01-13,464.1793419,526.86174,562.6230915,598.2625484,628.2237235
1971-01-14,451.6020962,513.5738058000001,551.9373988,592.9654527,629.7556314000001
1971-01-15,451.3034414,512.4904966,551.0940535,593.0795439999999,631.4480288000001
1971-01-18,442.500932,505.02393589999997,544.8819483,588.6520441,629.0760558
1971-01-19,433.7564146,510.95682370000003,551.1271356,586.3284424999999,610.4496144
1971-01-20,425.4229335,504.143859,546.3013477999999,584.0255244,609.6028457
1971-01-21,394.2222144,468.3818151,523.7309917,583.3858728,622.5339392000001
1971-01-22,397.961461,470.57448510000006,524.4917552000001,585.0621982,631.7720262
1971-01-25,413.1815239,476.4718408,525.150162,585.2444533,644.9410677999999
1971-01-26,422.37178850000004,482.1484375,527.3654394,586.3352187,654.8215163
1971-01-27,425.426279,482.4426463,527.9787383,587.4251244,653.1340668
1971-01-28,417.9722992,475.7895668,523.544407,584.9251616,648.0164415
1971-01-29,415.6071059,475.938057,524.0509416,584.8378497,646.6761194000001
1971-02-01,415.4092113,475.6978585,524.874355,586.4447273,646.0659248
1971-02-02,413.2991296,473.6143152,523.2189618,584.8885157999999,642.8810747
1971-02-03,412.8737065,474.60704409999994,524.2824017,585.1475242,641.3276520000001
1971-02-04,410.6347303,471.16316459999996,520.4957439,582.1880427,641.77865
1971-02-05,404.82689150000004,468.16428060000004,517.1086736000001,579.9676167,648.775402
1971-02-08,402.670314,465.0960861,513.6967318,577.0310142999999,648.3159554
1971-02-09,393.7318766,456.44868890000004,504.9588357,570.3706963,650.2730868000001
1971-02-10,392.507184,457.04573059999996,506.4494692,572.2097135,651.0361621000001
1971-02-11,385.75442949999996,452.7268218,503.4346689,570.0249815000001,648.2584757999999
1971-02-16,378.7349911,444.37330890000004,501.09576689999994,568.9282563,621.9113127
1971-02-17,369.9508059,434.1071695,491.97185269999994,562.6167815,618.9799984
1971-02-18,357.857234,423.79557339999997,482.7288876,553.6709819,608.0964205
1971-02-19,353.6969474,422.4030282,481.1182074,550.2251982,601.9054506
1971-02-22,359.28060419999997,427.44835070000005,485.14314169999994,553.0330096,604.4198951000001
1971-02-23,360.7656032,430.81696789999995,488.3074483,555.1963448,605.8121278
1971-02-24,360.7617922,427.1423844,483.7191454,551.3808048999999,605.1681689999999
1971-02-25,359.6629937,424.6790228,479.60600380000005,547.3799965000001,607.7275694
1971-02-26,362.7625924,428.7748596,482.12038880000006,549.2709131,615.8101295
1971-03-01,364.5212222,431.1824642,481.7127366,547.8020317,624.7133714
1971-03-02,365.5779264,430.3968022,480.2043766,546.7836130000001,627.0747766000001
1971-03-03,365.082516,428.1957545,477.0901427,543.1451443000001,624.0755109
1971-03-04,364.06435419999997,425.27884279999995,473.25217469999996,539.0644709000001,621.5253431
1971-03-05,360.8371165,422.83388850000006,470.87138419999997,535.7637938,615.2994729999999
1971-03-08,354.6027849,416.00616590000004,464.0852391,529.9504797,612.3161999
1971-03-09,347.6353663,405.1191557,451.6025469,518.3333191,607.5297263
1971-03-10,345.3811503,401.7503637,447.3957789,513.0480521,601.0729932
1971-03-11,337.217015,390.12804,434.291251,501.2030723,597.5060917000001
1971-03-12,343.6207773,397.9224583,442.68328940000004,508.9897168,601.5753709
1971-03-15,345.6058185,397.815601,440.8522445,504.573459,593.5737174999999
1971-03-16,343.32090389999996,393.94130770000004,436.23774920000005,500.42690480000005,593.1011617
1971-03-17,344.931255,390.9950273,430.51779129999994,493.9668479,592.5027385
1971-03-18,346.3304591,388.8867477,425.86166099999997,487.1586456,586.2575627
1971-03-19,344.5540344,388.9120458,426.95808939999995,487.947108,582.5801637999999
1971-03-22,345.2532594,388.0777841,424.54483539999995,481.9861774,569.2917378999999
1971-03-23,350.9640178,392.2033629,427.5929746,484.3482782,572.6173909
1971-03-24,353.1552294,398.2349669,435.2915217,489.7811921,565.4801232
1971-03-25,359.1232035,405.03654789999996,441.9913562,494.4947256,564.0906181
1971-03-26,364.1534722,415.2212739,454.2084152,505.7235283,567.2393724
1971-03-29,373.31656469999996,422.86387750000006,461.47388319999993,513.8800908000001,578.929397
1971-03-30,375.6333197,421.42692889999995,458.2269424,510.4075144,579.3831610999999
1971-03-31,374.9899895,421.3379197,458.368791,510.4209886,578.3853517
1971-04-01,384.9070559,427.5092105,464.0780601,522.013255,610.3621094
1971-04-02,391.0373039,433.29805700000003,470.1902953,528.0920702999999,614.3193452
1971-04-05,396.4354277,441.4441099,480.12991830000004,537.6630271,616.6668825
1971-04-06,394.2174423,442.9786378,481.44769030000003,534.5901573,602.2120150000001
1971-04-07,394.5770597,446.11269790000006,485.21834679999995,536.5396974,597.1983786
1971-04-08,402.2871196,456.6721256,497.44503800000007,550.2166466,611.268281
1971-04-12,422.9770455,480.31054969999997,520.138959,567.5699083999999,616.3030392
1971-04-13,417.35715170000003,477.7741123,516.4823024,559.143284,598.7675769
1971-04-14,414.3728482,477.8076244,518.7852219,564.3253594,606.9831601
1971-04-15,418.11385120000006,484.50421300000005,523.9419845,564.6442882,599.8222006
1971-04-16,419.68617439999997,489.4461541,528.4137984,566.6061504,598.276255
1971-04-19,422.10410850000005,492.8974038,532.6425183,571.7750084,604.3056197000001
1971-04-20,426.71788419999996,497.8696061,540.1778184,583.9351525999999,621.7465892
1971-04-21,435.179082,505.78154910000006,546.9706649,588.8773259,624.5748748999999
1971-04-22,434.68015189999994,502.7221602,543.0229824,584.5381213,620.3229028
1971-04-23,437.76108589999996,502.9631822,542.9525915,584.7891238,620.2661382
1971-04-26,444.4248354,506.4479948,545.8601469,587.313626,620.8410102
1971-04-27,453.4703521,515.1790281,553.101823,591.8193411999999,622.0241278
1971-04-28,460.7852819,519.2480494,554.6715752,591.5072736,623.0744387999999
1971-04-29,470.23459360000004,531.3387199,568.0780226,606.3735717,639.8366546
1971-04-30,469.5252486,532.5454351000001,567.7467068000001,602.2092176,630.8270582
1971-05-03,471.90112089999997,535.8713828,570.5641287,603.702754,630.8363719
1971-05-04,476.16205149999996,539.2762667999999,574.1431543,607.9654677999999,635.8928060000001
1971-05-05,484.63613280000004,549.4009027999999,583.1838761,614.4270723,639.6852546
